,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
16,worth it,bought this to bring my current at the time laptop back to life after being fed up a with previous hdd s failing in it for an almost 10 year old laptop it has never ran faster than with this ssd in it i ve had the mb not detect it a couple of times but a simple restart fixed the issue it s now still running strong after 5 years in a newer laptop running windows 10,fast for the pricelight weight,isn t always detected by motherboard,,2019-02-12 18:53:22,5,2019,2,12
17,bad product,i wont buy ever again from them,,i bought a samsung 850 evo 1tb it said new not used it had 19 9 tb written on it already i want a refund now,week,2019-02-04 14:37:47,1,2019,2,4
18,almost 5 yrs smooth as grease,i hope the current version 860 evo is even nearly as good,no problems with the then current samsung data migration tool made it through a firmware upgrade no grief no apparent degradation of any kind,pricey,years,2019-01-26 11:57:17,5,2019,1,26
19,good,perfectly valid place to get an ssd,it works exactly as advertised,none,years,2019-01-13 23:41:19,5,2019,1,13
20,great,been 2 years still boot super fast never had a problem,fast,none,years,2019-01-12 11:21:25,5,2019,1,12
21,excellent drive bas customer service,,these drives are fast and the price is great if you get one on sale,rma process if it needs to be returned has been reported as being very difficult therefore i would consider paying a little more for the intel ssd and avoid that problem later anyone can sell you any thing but service after the sale is everything samsung is the fastest but intel is more reliable and does not have the rma return issue samsung is the best as long as it does not fail to work i do have five samsung drives ranging from 1 month to 2 years old and no problems with any one of them yet i now feel comfortable with their quality and will purchase more of them in the future,,2019-01-07 08:32:16,4,2019,1,7
22,2 years later still going strong,there are newer models out now but if you re looking at this one for some reason know that i ve been entirely happy with it,quick durable,none,years,2019-01-05 08:28:54,5,2019,1,5
23,this ssd changed my life,every computer needs an ssd even if its just a boot drive don t deny yourself the simple pleasure of sub 30 second boot times get an ssd today lame 80 s graphics,25secs to boot up moves files from drive to drive really fast loading regular files is way faster can fit a few games on there that i usually save scrub fallout skyrim dishonored games where i load my saves over and over reliable havent had an issue in 3 years,might one day take over the world,years,2018-12-27 23:26:23,5,2018,12,27
24,excellent product amazing first ssd and loving it no regrets highly recommend samsung over others,if you were planning on getting an ssd don t get anything less than a samsung 850 evo in rust steam game my load times to load into a server went from 3 18 minutes sec on the mentioned hdd above to literally 1 minute on the 850 evo saved me between 15 23 seconds on boot up as well take my word if you never owned an ssd like me and this is your first time there are 2 things i highly suggest you do and you won t regret 1 don t buy the 250gb version skip that and don t get anything smaller than the 500gb version my first ssd and i love it i bought the 250gb version and when i saw how fast it was i returned it for the 500gb version 2 days after 2 don t buy anything other than a samsung ssd they are some of the best ssd s in the market when compared and comparing samsung 850 evo and other samsung s ssd to other brands the 850 supersedes the other ssd brands by at least 12 15 minimum i thought ssd s were just hype but i was wrong until i tried it no regrets on my purchase not sponsored just a normal gamer on a budget i7 6700k gtx 970,super fast at least 3 times faster than my wd 2tb 7200rpm black hdd small and very light bigger than a credit card by an inch or so easy to set up and install basically plug and play very simple,no cons at all highly recommend the samsung 850 evo over any other brand ssd,,2018-12-16 12:36:11,5,2018,12,16
25,this is the only model i buy this and the 860,i use these in my laptops side pc s and main pc obviously opt for the 860 or the 970 nvme drives rather than the 850 but if you do it for the cost the 850 is still a great thing,samsung drives are fantastic using them for years without issue very fast for the price,none that i know of,year,2018-11-30 11:22:59,5,2018,11,30
26,amazing if you never owned an ssd before like me you are missing out just amazing,2 quick and very important rules you will thank me for it 1 don t cheap out and buy anything less than a 500gb ssd 2 do not buy any other ssd other than the evo serier 850 and up trust me if you look on reviews online the 850 evo outperforms every other ssd on its category by at least a minimum of 10 12 if not more my only regret not buying the 500gb version instead of the 250gb bottom line yes its a bit expensive but only slightly compared to the boost your computer gets compared to my wd black 2tb 7200rpm hdd this thing is lighting fast no regrets on my purchase can t believe i waited to almost 2019 to believe all the hype loving it,love it when people say its fast its literally super fast i think i boot into windows 7 in less than 13 seconds and that s after typing my password and all games load way faster now significantly faster instead of waiting 30 seconds for a game to load any game almost it loads in less than half the time,none read others worth the price tag,,2018-11-26 18:21:30,5,2018,11,26
27,4 years of service,it s a very slim piece of hardware i didn t even mount it it just sits on top of my old disk drive,has worked great,in the past year or so i have noticed that my boots have slowed down a bit when i first got it i would have to memorize and spam the boot menu on the bios or find myself at the windows login screen this was impressive now despite having a timed bios display option booting up the pc is not instant or as impressive as it used to be,years,2018-11-26 14:48:25,5,2018,11,26
28,get something else,samsung is awful,faster than a normal drive,failed after about a year wont boot bsod tests show bad blocks failing smart uncorrectable error count fail ecc error rate fail,years,2018-11-23 22:49:12,1,2018,11,23
29,been using as primary drive for 7 months with no problems,samsung is proud of their products and the prices reflect that it is expensive for 250gb but it hasn t failed me yet,its solid fast no problems after 7 months,setup can be a pain but thats not samsung or newegg fault its microsoft have to go through so many different windows to get a new drive to work if doing a clean new install of windows then no problem at all windows install will see new drive,years,2018-11-14 09:18:25,5,2018,11,14
30,great ssd,included software is helpful but not really needed i will probably buy another if it goes on sale again,faster than older 840 pro i had been running,had trouble getting my system to see it initially had to play musical chairs with 3 other sata devices might be my board but that is brand new and it saw other devices in the slots i had them edit totally was my board apparently the sata 0_3 and 0_5 are disabled if you use the m 2 port i switched stuff around and it worked fine,year,2018-11-07 06:44:22,5,2018,11,7
31,plug and go,i would recommend,great product and with ssd everything is fast,only con is i didn t buy a big enough one,year,2018-11-04 10:41:04,5,2018,11,4
32,works as advertised,been 1 year know just casually looking back on past purchases and giving reviews now,works as advertised,none,years,2018-10-21 14:57:55,5,2018,10,21
33,it died,i ll research and buy another brand not this one for sure,good speed,i had it for less than 2 years yesterday i went to turn the laptop on and after the bios flashes on screen i just get a blank screen after a few minutes the laptop says that there is no hard drive detected i tried this several times before i put the hard drive in my wife s laptop and got the same message all of my photos and work related files were on there without being backed up since ssd s are so reliable never again,years,2018-10-10 06:43:27,2,2018,10,10
34,excellent vendor terrible usps,i would highly recommend this vendor,vendor stayed in constant communication and sent me the order for free after it was misplaced by usps,time to ship was not the vendor s fault though,month,2018-10-08 11:40:53,5,2018,10,8
35,if i can give it zero rating i would,not at all,what ssds should be like fast,died in less than a year,year,2018-10-02 10:59:22,1,2018,10,2
36,works great and reliable,i would recommend going for the 850 pro and that s only for the warranty the evo has a 5 year warranty and the pro has a 10 year warranty for around 25 00 more you can t even replace the drive that cheap plus if they warranty it that long they must feel it will make it best warranty i ve been able to find so far,put it to work with a clean install of windows 7 pro right out of the box without a single hiccup noticed a significant increase in system speeds and a decrease in boot times highly recommended,none so far,year,2018-09-29 06:08:10,5,2018,9,29
37,good product,,upgraded an older pc to run as dedicated game server reduced the start time on ark server by more than 50 running great for over 6 months so far,none,year,2018-09-25 12:35:26,5,2018,9,25
38,worth the money if,i ve been very happy with the ones i put in my computer and the ones i use for backups while hdds are far more cost effective their weight and size were creating problems for my old carcass not having to lug around and find room for a bunch of backup hdds made the cost worthwhile for me never mind that i ll be eating mustard sandwiches without the bread for a long time not everyone will be able to justify that expense the increased speed when moving large amounts of data was a happy bonus for me however samsung has since replaced the 850 series with the 860s i recommend them over the 850s for lower price rather than buying new 850s there would be no benefit to replacing perfectly good 850s with 860s though,small size light weight no moving parts to wear out or break impact resistant low power consumption generates little heat large capacity and greater speed,cost,years,2018-09-22 00:15:29,5,2018,9,22
39,two years in still perfect,,still as good as the as the day i got it according to samsung magician read write speed didn t fall of much or at all its fast,none that i can think of,years,2018-09-18 21:31:24,5,2018,9,18
40,no issues,m 2 is the future for desktop builds but a 2 5in is still great for upgrading older desktops and laptops,price when purchased was nice 1gb for 50 cents this was before ssds got more expensive my ssd works fine,none,years,2018-09-18 21:19:56,5,2018,9,18
41,beware you may be getting eu version,,fast reliable etc,if like you receive the eu version mz 75e1t0b eu you can t register for samsung s warranty,week,2018-09-16 14:10:03,3,2018,9,16
42,,,excellent product super excellent service delivery thank you very much,no cons,month,2018-09-11 14:07:03,5,2018,9,11
43,if you want a good ssd from a reputable brand thats still affordable this is it,,great performance great price enough room for your os plus 1 or 2 game depending on size,be aware windows 10 takes a decent amount of storage so your os all your program files will use a majority of the storage,,2018-09-03 00:01:04,5,2018,9,3
44,wow,would buy again once price goes lowerrrbought at 129 99 usd on 11 23 2016,fast for sata,sata not m 2,years,2018-08-09 00:37:09,5,2018,8,9
45,running for months without issues,,bought 2 and both are doing great after 6 months of regular usage,the egg should not require cons extra typing,year,2018-07-25 08:20:00,5,2018,7,25
46,i m new to ssds but what an improvement in performance,i can endorse this product due to it s amazing speed and reasonable cost,relatively at the time cost effective surely now three years later they are about 100 cheaper bootup times in my macpro 3 1 tower less than 10 seconds,too light weight they need to put lead weights in these or something,years,2018-07-18 17:45:30,5,2018,7,18
47,samsung sdd s are an easy call,,extremely fast and their software for copying your old drive over to the evo is as simple as point and click i have used other ssd s but these have to be my favorite hands down,none,year,2018-07-08 14:28:04,5,2018,7,8
48,met expectations,,great os drive,none,years,2018-07-01 18:44:43,5,2018,7,1
49,nice and quick ssd,samsung evo line over the years has improved where its almost not necessary to even consider the pro line unless your doing something extremely intensive save the few bucks and get the evo s,nice and quick ssd one of the best on the market can t complain,none,years,2018-06-27 08:08:42,5,2018,6,27
50,great ssd made a new laptop fast,i used the samsung software to test the old hard drive performance against the new ssd it was shocking how much faster it is,i got a new laptop with a 5400rpm spinning drive very slow disappointing performance i used the samsung migration software to migrate the 10 filled 1tb drive to a smaller samsung ssd it allowed a smaller target drive using a startech usb to sata cable it was very easy i then opened up the laptop installed the new drive and i now have a laptop with the fast performance that it should have had from the factory very satisfied,none,year,2018-06-22 08:56:24,5,2018,6,22
51,works good would have given five stars but price,,faster than any mechanical drive,it costs alot more than the crucial mx500 and has same performance buy crucial mx500 if price is important if not buy this because the software for cloning drive is simple and quick,year,2018-06-09 06:52:48,4,2018,6,9
52,reliable ssd,,9 mos later still running smoothly included migration software was a breeze to use samsung magician software is a informative,none,year,2018-05-28 11:12:46,5,2018,5,28
53,great product works great computer boots up fast cheap nothing else to say,,everything worked perfect easy to set up definitely on par with the more expensive ssds,nothing really,,2018-05-08 15:41:18,5,2018,5,8
54,d o a,,great if they work,d o a finally got all parts together to use it and nothing tried a store bought one and it works,year,2018-05-08 06:54:11,1,2018,5,8
55,great ssd made a new laptop fast,i used the samsung software to test the old hard drive performance against the new ssd it was shocking how much faster it is,i got a new laptop with a 5400rpm spinning drive very slow disappointing performance i used the samsung migration software to migrate the 10 filled 1tb drive to a smaller 500gb samsung ssd it allowed a smaller target drive using a startech usb to sata cable it was very easy i then opened up the laptop installed the new drive and i now have a laptop with the fast performance that it should have had from the factory very satisfied,none,year,2018-05-01 03:11:26,5,2018,5,1
56,great ssd,i recommend samsung ssds i installs samsung ssds in my machines i would install a samsung ssd in any machine i build for someone i would not hesitate to purchase this drive again,installed and loaded it up without issue i expect to continue with a steady stream of samsung ssds going back to the 470 840 750 etc samsung has never disappointed 3 year warranty,no complaints about the ssd,years,2018-04-30 13:32:07,5,2018,4,30
57,died on me after a year,rip sticking to crucial from now on,fast,it died on me and i can t format it anymore,year,2018-04-28 07:58:02,1,2018,4,28
58,great ssd,installed it in my computer my wife s and my parents no issues on all computers intel and amd old and new,fast reliable,none,years,2018-04-27 18:09:10,5,2018,4,27
59,good price benef,,great performance for the price good storage capacity easy setup,new version already launched,year,2018-04-20 07:46:13,5,2018,4,20
60,very fast reliable,i would buy this product again,very fast revived old laptop which now boots in 3 seconds still going strong 1 year later,none,year,2018-04-20 07:18:02,5,2018,4,20
61,failure after less than two years,would not recommend,fast good price,one failed after less than two years the other is lossy and probably on its way out,,2018-04-17 19:12:33,1,2018,4,17
62,super fast,,flawless set up and,didn t align to the mounts in the motherboard but since its so light i made it work,year,2018-04-14 18:14:45,5,2018,4,14
63,awesome,this is the second i bought,very fastcheap,none,year,2018-04-09 06:51:06,5,2018,4,9
64,six months in,3 tb written in six months so if it had a problem it would have surfaced by now at 10 tb a year i doubt i will burn it out in less than a few decades by then i will spring for a 1 tb drive,not one hiccup since i built the system all smart data still looks good speeds are as expected and it runs cool in a well ventilated case,none really,year,2018-03-24 19:01:02,5,2018,3,24
65,best ssd brand hands down,would recommend the 250gb or 500gb samsung evo the smaller sized drives tend to have more longevity,over a year of operating system use with a few games installed on it until recently and it is still in perfect working order recently ordered the 500gb version samsung is hands down the best ssd brand on the market with most of their drives lasting years while competitions drives die within months,none,years,2018-03-22 00:18:08,5,2018,3,22
66,sharing the link for the firmware,i accidentally deleted the firmware on this while switching from linux to windows and had a really tough time finding the drivers firmware for it i finally found it on samsung s site but i ve got no clue why it does show up under the product page or other tools downloads pages can newegg add this link to the specifications page or something http www samsung com semiconductor minisite ssd product consumer 850evo,have had no issues with it,for some reason it was really hard to find the drivers for this,year,2018-03-21 18:40:30,5,2018,3,21
67,3 months crash,i used this as my c drive for my audio pc in my studio i installed it mid january and it crashed with blue screen 2 days ago it s been tested and looks like it s dead and will not show up in the bios or hooked to other pc s very disappointed as i did a lot of research and found this to be reviewed as one of the best out there it was very bad timing as i had a client coming in to record at 7 30 and it crashed at 7 20 and i had to send the guy home now when i check in my orders it s telling me ineligible for return,super fast,didn t last long,year,2018-03-17 09:45:19,1,2018,3,17
68,great until the day it died,if considering this ssd i d recommend sizing up on storage,very fast transfer speed can hold a few choice games and there s near no load time,up and died expected possibility with daily use but always disappointing sub 2 years,years,2018-03-13 20:30:07,4,2018,3,13
69,0 fail,,bought at least 3 of these so far with 0 fail super fast and will change your whole computer to super fast,none,years,2018-03-13 17:24:25,5,2018,3,13
70,easy setup and utilities,absolutely recomend just bought another and sell small ones to son for gaming computer,9 months and going strong two older smaller samsung evo have had no issues yet,000000000,year,2018-03-12 17:01:30,5,2018,3,12
71,samsung warranty sucks,,great prices and performances,ssd died after 2 years samsung send me to newegg for warranty they do not stand behind there products last time i buy a samsung product,years,2018-03-12 14:30:11,1,2018,3,12
72,great ssd,,very fast and easy to setup a must for any new system,none,year,2018-03-12 09:27:02,5,2018,3,12
73,2 years and no issues,,super fast compared to all my previous spinning hdd must have in every system,none,years,2018-03-07 01:18:22,5,2018,3,7
74,huge improve from my old hdd,gonna buy another one for 1tb of storage eventually,i love this thing so fast just get it if ur comouter takes forever to laid get it on my old hdd it literally took at least ten minutes to load into rust with this it takes 1 5 minutes it s amazing,none,month,2018-03-04 10:09:17,5,2018,3,4
75,nice ssd drive,great ssd drive no problems no regerts lol,very nice ssd drive works great in my newly purchased dell 3050 sff pc purchased with mounting bracket icy dock tool less dual 2 5 to 3 5 hdd drive bay ssd mount kit bracket adapter ez fit lite mb290sp b both worked perfectly,no problems at all didn t even need to use the install disc,month,2018-03-04 05:50:00,5,2018,3,4
76,easy to set up with aoemi partition assistant i just move the os partition to the ssd software included may also work i just never use it,have installed all brands all have worked well except one of over100 that failed to install os partition the ssd was replaced by the manufacturer samsung the pro version has a higher rating but is much more expensive,doubles or tripples the speed of the computer,some form of mount plate is needed for desktops but fits right in most laptops,years,2018-03-02 16:21:16,5,2018,3,2
77,perfect ssd for me,if you dont want to worry about ssd space and have lot of money this is the ssd you want to choose,very fast im sure it could be faster if it wasnt for the fact sata bottleneck it,nothing so far will update if anything happend,year,2018-02-28 17:30:44,5,2018,2,28
78,bad performance,,1tb,this must be the retro edition 2 minutes 56 seconds to boot to logon i had a virtual pc on my old drive boot faster than that,year,2018-02-27 20:53:01,1,2018,2,27
79,,,worked great until it didn t,had periodic bluescreens in windows 10 then eventually at roughly 1yr of ownership wouldn t boot into w10 attempted data recovery failed attempted windows reinstall worked for about a week before dying again unable to reinstall unable to see drive when connected via sata to usb adapter to a different computer,years,2018-02-25 14:16:20,1,2018,2,25
80,ye,i got it at one hell of a deal and its doing what i need it to so far its small so i of course had to get an hhd aswell to keep from running out of space but im hoping it will be running for years to come,fast and reliable the magician software that came with it has been helpful,doesnt come with a usb cable for data transfer,year,2018-02-24 01:22:22,4,2018,2,24
81,good hardware,the hardware is great just don t trust the cloning software plan on a fresh system install and all should be well,fast quiet,like others have said the cloning software doesn t work you also need an adaptor cable to plug the drive into a usb port in order to attempt cloning which doesn t come with the drive nor do they tell you ahead of time 15 and a week delay,year,2018-02-23 13:54:14,4,2018,2,23
82,great product but unstable,,very fast startup and read times,after 1 1 2 years it crashed on me it shows in bios but when i go to reinstall the os the drive size shows as nan or 0mb,years,2018-02-22 12:56:13,2,2018,2,22
83,xbox one speed improvement,,speeded up my xbox one with loading of games,na,month,2018-02-22 07:10:09,5,2018,2,22
84,balzeing fast boot awesome no issues,made my laptop faster like it was a super gig machine love it,easy install software download a breeze system boots up before i have a chance to sip my coffee,should have bought a bigger drive,year,2018-02-19 12:35:18,5,2018,2,19
85,gets faster the more you use it,i d recommend this if you can find it for sub 140 get the newer 3d nand one other wise,looks great very fast and it actually gets faster windows 10 took 15 seconds to boot after a fresh install after a week of use that number is down to 7,beware that after partitioning and installing windows you ll only have around 460gb to work with,year,2018-02-18 13:04:02,5,2018,2,18
86,great drive,i haven t tried any of the other ssds because these have a great reputation and haven t let me down yet,extremely simple set up comes with a cable that makes it absurdly easy to clone your c drive onto this to make this your boot drive hardy and running well i have one of these in each of 3 desktops and 1 laptop for 2 years and none dead yet my company also installed them as boot drives in each of our dozen or so other work pcs 3 years ago with no issues,cloning instructions are a little confusing says that any info not cloned will be wiped from the source drive which is wrong so i wasted time backing up 500 gigs of data to another drive that was over what i wanted on the boot drive and it does not come with a drive tray so can be a pain in the rear to strap into place in the case or you have to leave it loose,years,2018-02-18 09:25:27,5,2018,2,18
87,hard drive failure,should have longer lifespan but every hard drive in this laptop has only survived 2 years,lasted 2 yrs in my macbook pro 13 and was fast good drive while it lasted,drive failure after 2 years don t know how many cycles or any technical data,years,2018-02-17 15:31:42,4,2018,2,17
88,decent ssd for balanced speed size durability and price,,got this to replace previous sshd on my ps4 since it took about frustrating 1 min to load my save of horizon zero dawn now on this it took less than 30 seconds in loading it also performs much better and faster on updating system and any other contexts needed read and write on disk,none,year,2018-02-16 14:11:49,5,2018,2,16
89,awful broke within 2 months,i would never recommend this product to another customer quality is awful it just goes to show how quantitative companies are around the holidays thankfully i had bought a protection plan so i could get my money back do not buy this product,quick boot times,very bad quality hard to setup when first building pc,year,2018-02-16 09:25:37,1,2018,2,16
90,great product,,very fast ans very sturdy this is my third unit form samsung and i just love them that being said i also have kingston and never ha issues with either,none,month,2018-02-16 06:43:09,5,2018,2,16
91,great ssd looks great,if you are looking to make improvements to your pc and don t have a ssd yet i would highly recommend one because they are just soo much faster than a by putting your os on one of these bad boys you can start up your pc in just a few seconds as a recommendation if you only plan to keep the os on the ssd you wont need 500gb to do that,price very fast make sure your load your os on here looks very nice in case,none,year,2018-02-13 06:47:59,5,2018,2,13
92,,,easy installation fast,none really maybe price but thats to be expected with good ssd s,week,2018-02-10 19:24:17,5,2018,2,10
93,great product easy to setup and super fast,i highly recommend this money wise this is the best upgrade you can make on your computer if you do a bit of everything on it personally i do everything from social media sites to watching movies to video games mostly video games if you hate loading times as much as me get this if you hate low fps and like good graphics get a gpu first then this also keep in mind ssd s are very sturdy and highly unlikely to break down or be defective unlike many graphics cards which have a much higher chance of having problems later down the road or being defective a bit off topic here but i highly recommend the nividia geforce gtx 960 it runs cool it is sturdy and it is well worth the money will play anything you throw at it on ultra if you have the processor to keep it from bottlenecking,it will download on my old stock mobo at 400 mb s per second i went from waiting sometimes 2 minutes for stuff to load all the way to waiting at most 12 seconds after i installed my new graphics card the longest i wait now is 7 seconds it takes 10 seconds to restart my computer 5 seconds to boot it 3 seconds to load gta 5 about 12 seconds before i installed my nivida geforce gtx 960 and 4 seconds to load fallout 4 on medium graphics settings and 7 seconds on max settings that should give you a general idea of how fast this bad boy is keep in mind load times are affected mainly by ssd however gpu cpu and ram also play a role in this so times are subject to change depending on system hardware edit over 1 year later and this bad boy is still working like new only a few bad sectors dont freak out this is normal but at the rate its going it should last around 20 years for me literally ssds last nearly as long as ram if not longer,none so far,years,2018-02-10 15:42:38,5,2018,2,10
94,great ssd,i had to disconnect and reconnect the drive a few times when trying to find a good mounting position cable management the connection board not the connections themselves if that makes sense feel a bit creaky loose i m not concerned now that it s mounted but it was a bit nerve racking as i did fear it might break off never experienced this before that aside the samsung evo series is fantastic tons of reviews and benchmarks out there so not much else for me to add although you pay a bit of a premium for samsung products for a few extra bucks it s well worth the piece of mind that i m getting a quality product i recommend these drives to all my friends customers you can t go wrong,great speedsgood price,nothing really was slightly concerned about the connection see additional comments,month,2018-02-04 20:08:03,5,2018,2,4
95,the best reviewed ssd,,the installation was easy you need to buy a usb to sata cable using the pc is now a better experience the price is the best around,while the read speed exceed the 540 specified the write speed is only 507 instead of 520,year,2018-02-03 10:18:43,5,2018,2,3
96,fast,drop the price please,fast,not slow wish it was cheaper,year,2018-02-01 15:51:26,5,2018,2,1
97,,,size price ratio,none,year,2018-02-01 06:34:25,5,2018,2,1
98,great ssd and fast,fits nicely in my case corsair 760t,nice ssd it does the job well,none it s been running in my rig now for more than 3 months and not one problem,year,2018-01-31 11:54:06,5,2018,1,31
99,fast affordable,easily the best alternative to an m 2 drive boots almost the same speed into windows but has less read write of course highly recommend my old 830 has 14000 hours on it and is still flawless so these will last,boots win10 in 5 seconds set up correctly automatically no messing with bios like the old days large storage at a cheap price,the matte finish isn t as appealing as the older 830 series with the chrome and brushed look,month,2018-01-31 10:56:48,5,2018,1,31
100,solid,buy it you will not regret this purchase,reliable fast silent cool running drive highly recommend,,years,2019-12-05 12:58:58,5,2019,12,5
101,nice drive for price even cheaper by todays costs,good drive price,been running almost constantly since when i purchased it 24x7x365 with random power outages no issues to date with it will buy samsung evo s in future builds,,years,2019-11-01 08:25:45,5,2019,11,1
102,perfect,used this drive as my boot drive and only data storage on my previous build and now 4 years later i m using it as my new rig s game library crystaldisk still shows it at 100 and it s still plenty fast vs the new 860 evo can t go wrong with this one,good value decently fast good longevity,none so far,years,2019-10-27 17:05:49,5,2019,10,27
103,very snappy,os boots quicker os menus pop up quicker gaming load screens go quicker,noticeable improvement in os performance over a spinning drive,samsung magician software causes some games to fail to launch if you leave it running in the background,years,2019-10-24 18:29:43,5,2019,10,24
104,worth the hype,this was the sdd that everyone said to get and it has yet to disappoint it is super speedy and has given me no troubles,,,years,2019-09-11 19:21:03,5,2019,9,11
105,good price,dont be shy about this buy,fast and easy install great price,non,years,2019-08-26 15:38:16,5,2019,8,26
106,ssd strong,,its still working,its a little on the expensive side hoping the price drops so i can get a 1t,years,2019-07-27 04:52:12,5,2019,7,27
107,it died,used this as a storage drive for steam games only,it was a fast drivesamsung warranty honored,it died in 3 years,years,2019-04-27 14:55:38,4,2019,4,27
108,ssd s are meh,i ve been using samsung electronics for years and have never been disappointed until now and i m very familiar with samsung ssd s as well i currently have an 830 in my old alienware but i decided to update to the new at the time v nand in my laptop and replace the hdd in my wife s laptop replacing her s went smooth it showed up in the bios and was able to install a clean copy of windows however the second one for me was absolutely dead i ve tried to connect internally and with every usb port on both my laptop and her s and my buddies desktop and nothing it doesn t appear in bios or device manager so be warned its too late for rma because i ve been too busy to post a review or even contact anyone i purchased both in 2017 and its now the end of april 2019 and that s on me,lightning fast and reliable,ordered two and only one works,years,2019-04-21 18:38:01,3,2019,4,21
